algorithm,function,dim,max_eval,run_id,best_fitness,execution_time,evaluations_used,avg_nearest_neighbor_distance,dispersion,avg_exploration_pct,avg_distance_to_best,intensification_ratio,avg_exploitation_pct,average_convergence_rate,avg_improvement,success_rate,longest_no_improvement_streak,last_improvement_fraction
AdaptiveDifferentialEvolutionWithMemeticSearch,F12022,10,200000,0,300.0000000000027,3.65409517288208,200002,2.7346735002314215,292.02035402039206,7.899952751054511,1.4494614602380231,0.8515625,92.10004724894549,0.9556603016210161,49059.519495312605,0.1841876629018245,322,0.2797567332754127
AdaptiveDifferentialEvolutionWithMemeticSearch,F12022,10,200000,1,300.0000000000078,3.793949842453003,200002,2.8235610292807816,283.84581501792786,6.690263111060943,2.0880934589200484,0.8619791666666666,93.30973688893906,0.9575761296575279,5085.439943937531,0.17723718505647262,556,0.2797567332754127
AdaptiveDifferentialEvolutionWithMemeticSearch,F12022,10,200000,2,300.00000000000466,3.6791298389434814,200002,2.5095515739278604,293.2751873003032,5.742850065196396,1.6062088189782329,0.8767361111111112,94.2571499348036,0.953607956125795,653526.0061156498,0.16420503909643788,322,0.2797567332754127
AdaptiveDifferentialEvolutionWithMemeticSearch,F12022,10,200000,3,300.00000000000523,3.6216299533843994,200002,2.5711297351228324,292.96445358584765,7.838606282852332,1.6257819740398054,0.8420138888888888,92.16139371714766,0.9521464751923083,3207933.3246448054,0.19548218940052128,361,0.2788879235447437
AdaptiveDifferentialEvolutionWithMemeticSearch,F12022,10,200000,4,300.0000000000032,3.751769542694092,200002,2.531238158893648,276.34491603184875,5.727545526999073,1.7252985681455186,0.8776041666666666,94.27245447300092,0.9575588793088475,5756.333740219956,0.15986099044309296,321,0.2788879235447437
AdaptiveDifferentialEvolutionWithMemeticSearch,F22022,10,200000,0,400.0232548719223,5.249897480010986,200002,2.173432557058523,293.2346251508576,2.6930117989639712,1.6399558091365938,0.9305555555555556,97.30698820103603,0.9607529444739132,51.062184821974256,0.39009556907037357,467,0.0
AdaptiveDifferentialEvolutionWithMemeticSearch,F22022,10,200000,1,400.002623460881,5.563950777053833,200002,2.3228111910766294,276.2351398357762,3.205067904651663,2.328266053217535,0.9210069444444444,96.79493209534834,0.9620083212759508,11.063881478301012,0.4005212858384014,489,0.0
AdaptiveDifferentialEvolutionWithMemeticSearch,F22022,10,200000,2,408.9161019415931,5.208522081375122,200002,3.357491182686966,299.6376276971034,12.181557055673522,1.412035525838069,0.6840277777777778,87.81844294432648,0.9598921249400991,87.76489321659469,0.6368375325803649,292,0.0
AdaptiveDifferentialEvolutionWithMemeticSearch,F22022,10,200000,3,408.9161019446131,5.227826833724976,200002,2.518742288336085,270.69010503641647,5.1299265313539255,1.3753995499453284,0.8637152777777778,94.87007346864607,0.9608338046550549,39.116941722270134,0.4622067767158992,337,0.0
AdaptiveDifferentialEvolutionWithMemeticSearch,F22022,10,200000,4,404.2876879809179,5.312211275100708,200002,1.843976937927622,286.6475608617236,12.859786616178015,1.4677617125627123,0.5260416666666666,87.14021338382199,0.961443282303253,11.307672289650338,0.7706342311033884,17,0.0
