algorithm,function,dim,max_eval,run_id,best_fitness,execution_time,evaluations_used,avg_nearest_neighbor_distance,dispersion,avg_exploration_pct,avg_distance_to_best,intensification_ratio,avg_exploitation_pct,average_convergence_rate,avg_improvement,success_rate,longest_no_improvement_streak,last_improvement_fraction
AdaptiveDifferentialEvolutionPlus,F12022,10,200000,0,300.0000000027745,14.027788162231445,200000,6.913618703174222,239.37220284758564,32.96000420198869,60.70104603447448,0.4068241469816273,67.03999579801132,0.9928937616543045,6022706.165117481,0.027625,195,0.00025
AdaptiveDifferentialEvolutionPlus,F12022,10,200000,1,300.00000499032313,13.857034683227539,200000,7.410781906802908,239.11630531273812,24.545182432643756,48.242134000243254,0.4376952880889889,75.45481756735624,0.9930535712943932,1913014.6001978822,0.024,239,0.001125
AdaptiveDifferentialEvolutionPlus,F12022,10,200000,2,300.00000000000006,13.537342071533203,200000,5.663843420541564,239.65148566440251,24.75434494280995,51.177410432371836,0.4579427571553556,75.24565505719005,0.9936036100063764,17299.511177568453,0.031625,308,0.004625
AdaptiveDifferentialEvolutionPlus,F12022,10,200000,3,300.00000000000125,13.825477600097656,200000,7.549888138336613,215.86731938249596,34.73746740136299,69.40588836198332,0.44894388201474816,65.26253259863701,0.9939996255351254,725.2280240222433,0.031125,281,0.001125
AdaptiveDifferentialEvolutionPlus,F12022,10,200000,4,300.0000000004223,13.378834962844849,200000,6.5783371848256085,229.67897841068483,27.34573302978662,54.72884013979617,0.4539432570928634,72.65426697021338,0.9940958829917355,365.0092534033519,0.0285,327,0.00475
AdaptiveDifferentialEvolutionPlus,F22022,10,200000,0,400.83547746917856,15.720003604888916,200000,7.272424619329586,268.5903141269917,32.875609787834854,79.31010219252776,0.06961629796275466,67.12439021216514,0.9942008182768729,397.43647549636677,0.01125,943,0.088
AdaptiveDifferentialEvolutionPlus,F22022,10,200000,1,401.633257455723,15.820869207382202,200000,4.4634210292891074,265.143329006506,22.383978015884253,40.59134555027091,0.5543057117860267,77.61602198411575,0.9941838654638773,366.04660615336036,0.014,359,0.034875
AdaptiveDifferentialEvolutionPlus,F22022,10,200000,2,402.61327254754855,16.3489351272583,200000,5.59288293411052,258.8676963951202,25.723150864607007,64.45323382898864,0.07861517310336208,74.276849135393,0.9941434653507687,727.5254610280464,0.00975,823,0.083625
AdaptiveDifferentialEvolutionPlus,F22022,10,200000,3,402.51172198839726,15.955806255340576,200000,7.721577582568741,269.8858277087878,26.607988123035092,61.61274964298465,0.07536557930258718,73.39201187696492,0.9942652094790563,213.05641738058932,0.0125,783,0.019625
AdaptiveDifferentialEvolutionPlus,F22022,10,200000,4,402.9838794470342,16.374303340911865,200000,6.322629031852586,254.11708127660842,27.255965984741515,72.71240730288096,0.12598425196850394,72.74403401525848,0.99449418875435,50.39271933792777,0.008375,1219,0.019625
AdaptiveDifferentialEvolutionPlus,F32022,10,200000,0,600.0,20.615672826766968,200000,1.5277563585064553,267.9367620474553,2.199640026633502,3.3202494685665185,0.96962879640045,97.8003599733665,0.9953886116079429,0.021179617873625035,0.015,5248,0.656
AdaptiveDifferentialEvolutionPlus,F32022,10,200000,1,600.0,20.93347406387329,200000,0.8325307361109345,276.31866661699894,2.3517311515082695,3.3808200226532095,0.968503937007874,97.64826884849172,0.9953337845982906,0.037608530646000525,0.013125,5541,0.692625
AdaptiveDifferentialEvolutionPlus,F32022,10,200000,2,600.0,22.772533655166626,200000,0.9069133172552994,256.0050566280524,1.8753201646105457,2.5820412006599938,0.96962879640045,98.12467983538946,0.9954481833232947,0.014314649178364065,0.01375,6057,0.757125
AdaptiveDifferentialEvolutionPlus,F32022,10,200000,3,600.0,21.920005559921265,200000,0.9322722774109746,279.30902997283397,2.3212091869159615,3.253476715233209,0.9648793900762405,97.67879081308403,0.9954266518745939,0.015220155136275232,0.015375,6572,0.8215
AdaptiveDifferentialEvolutionPlus,F32022,10,200000,4,600.0,22.034393072128296,200000,1.480051589557411,288.3777170472156,2.1552892650853344,3.1509412337091622,0.9687539057617798,97.84471073491467,0.9953841181097783,0.023114201160234115,0.01425,6538,0.81725
AdaptiveDifferentialEvolutionPlus,F42022,10,200000,0,819.5324539501561,27.48044180870056,200000,12.153831360431571,232.09750132316898,57.475956349605575,134.5209708782607,0.10473690788651419,42.524043650394425,0.9948016922069574,10.166216506766261,0.0035,1951,0.026375
AdaptiveDifferentialEvolutionPlus,F42022,10,200000,1,815.0100018024289,27.972570419311523,200000,13.03331135852889,224.4335798107371,54.67079387884755,131.02730464052937,0.07111611048618922,45.32920612115245,0.994737891184736,21.613625531608886,0.00275,1591,0.18025
AdaptiveDifferentialEvolutionPlus,F42022,10,200000,2,820.1053061463651,27.966349363327026,200000,12.676894820719149,225.6510747320965,53.76261061297643,121.29511115718816,0.12373453318335208,46.23738938702357,0.9947437814537448,22.674996051139566,0.0025,5619,0.702375
AdaptiveDifferentialEvolutionPlus,F42022,10,200000,3,818.9859036599797,28.624083995819092,200000,11.77647902007222,221.34304931001418,48.16828863492624,117.36293281952896,0.10886139232595926,51.83171136507376,0.9947360717461028,14.191431634934748,0.00425,2719,0.00025
AdaptiveDifferentialEvolutionPlus,F42022,10,200000,4,820.3896937053089,28.85841417312622,200000,13.046565476856713,237.03879220784174,58.68400789464745,142.93709574978368,0.11211098612673416,41.31599210535255,0.9947879891507664,12.223693225422481,0.00325,2797,0.0035
