algorithm,function,dim,max_eval,run_id,best_fitness,execution_time,evaluations_used,avg_nearest_neighbor_distance,dispersion,avg_exploration_pct,avg_distance_to_best,intensification_ratio,avg_exploitation_pct,average_convergence_rate,avg_improvement,success_rate,longest_no_improvement_streak,last_improvement_fraction
AdaptiveDifferentialEvolutionWithDynamicPopulationV2,F12022,10,200000,0,9469.993311947239,23.64924192428589,200000,107.38539428189361,155.70934907549025,100.0,307.83380350118114,0.00012498437695288088,0.0,0.9933022999765512,7076419.710771901,0.000875,2523,0.30275
AdaptiveDifferentialEvolutionWithDynamicPopulationV2,F12022,10,200000,1,11877.012180195981,22.40999674797058,200000,106.68563605941141,150.03040028419147,100.0,308.1061492002945,0.00012498437695288088,0.0,0.9941158176577651,7088.722048733798,0.00125,5622,0.70275
AdaptiveDifferentialEvolutionWithDynamicPopulationV2,F12022,10,200000,2,10491.651914356937,22.470417499542236,200000,105.09702406709266,152.22509481317138,100.0,312.2906596535542,0.00012498437695288088,0.0,0.9931854113661435,12699501.415312909,0.00125,6171,0.771375
AdaptiveDifferentialEvolutionWithDynamicPopulationV2,F12022,10,200000,3,5098.52916537582,22.556296348571777,200000,108.66976670675169,152.33005774545458,100.0,321.2019100711746,0.00012498437695288088,0.0,0.9931142687153978,22525084.15482456,0.00125,4314,0.148625
AdaptiveDifferentialEvolutionWithDynamicPopulationV2,F12022,10,200000,4,12565.567394536116,24.162286043167114,200000,106.42852009107116,160.21321637022743,100.0,309.4693977786156,0.00012498437695288088,0.0,0.9938662565455469,75470.23057876527,0.000875,7056,0.882
AdaptiveDifferentialEvolutionWithDynamicPopulationV2,F22022,10,200000,0,454.15551645552284,26.04690957069397,200000,77.61782899712861,186.7268062755935,96.77466355376558,195.97166713202662,0.00012498437695288088,3.2253364462344223,0.9941554429645046,2576.638021952481,0.0025,3463,0.432875
AdaptiveDifferentialEvolutionWithDynamicPopulationV2,F22022,10,200000,1,443.3169101800016,26.149904489517212,200000,78.16202720108113,175.2069958634264,98.57226110765032,202.2684301791343,0.00012498437695288088,1.42773889234968,0.9942767326640822,1022.0559871128429,0.002375,4295,0.536875
AdaptiveDifferentialEvolutionWithDynamicPopulationV2,F22022,10,200000,2,451.5688372000436,24.94731640815735,200000,71.65548576380772,183.3852554857945,97.41768741064234,200.7918306166053,0.00012498437695288088,2.582312589357656,0.9942466231404317,1302.2358398808656,0.002375,3608,0.03825
AdaptiveDifferentialEvolutionWithDynamicPopulationV2,F22022,10,200000,3,452.23595109269684,25.42336082458496,200000,76.06445804245209,190.74762525503934,98.2762149935329,199.70657289162895,0.00024996875390576176,1.7237850064670965,0.9943177700939024,872.3924869407335,0.002,2885,0.245125
AdaptiveDifferentialEvolutionWithDynamicPopulationV2,F22022,10,200000,4,448.1689909989289,24.631191730499268,200000,72.98112678470918,185.76374882694063,97.9807506180361,201.09045890678036,0.00012498437695288088,2.0192493819639026,0.9945181295045361,163.81569008521103,0.002125,2669,0.333625
AdaptiveDifferentialEvolutionWithDynamicPopulationV2,F32022,10,200000,0,600.0000000426854,30.94894552230835,200000,67.72986835080147,177.75939455183513,70.39700388947642,127.33210470190228,0.15585551806024248,29.602996110523577,0.9954140517895605,0.03571698428332631,0.00725,5859,0.732375
AdaptiveDifferentialEvolutionWithDynamicPopulationV2,F32022,10,200000,1,600.0000000108381,30.551655530929565,200000,66.57124183594392,176.26815721017212,68.9566972265451,124.25400152609124,0.16510436195475567,31.043302773454897,0.9953512305846272,0.053628851716498005,0.008,5778,0.72225
AdaptiveDifferentialEvolutionWithDynamicPopulationV2,F32022,10,200000,2,600.0000001268388,31.044738292694092,200000,69.72345618395758,186.01855324779825,73.14244242471902,131.86175831931075,0.10648668916385452,26.85755757528098,0.9953517313433741,0.05102179458692853,0.008375,6180,0.7725
AdaptiveDifferentialEvolutionWithDynamicPopulationV2,F32022,10,200000,3,600.0000000593875,30.018251657485962,200000,65.56575946488496,190.33824551829088,67.53889672454301,122.40850052744209,0.1779777527809024,32.46110327545699,0.9954236365138245,0.024589753359470168,0.00975,5634,0.70425
AdaptiveDifferentialEvolutionWithDynamicPopulationV2,F32022,10,200000,4,600.0000001796218,31.871978521347046,200000,74.9255013665131,186.14986981868077,76.01423711108518,137.3265206565255,0.08548931383577053,23.98576288891482,0.9954259242542762,0.03362604509109701,0.007,6398,0.79975
AdaptiveDifferentialEvolutionWithDynamicPopulationV2,F42022,10,200000,0,899.8270561882077,38.01717448234558,200000,107.54954636460081,154.82352131876328,100.0,261.31151173346564,0.00012498437695288088,0.0,0.9947901760127652,22.30540010754755,0.00175,2581,0.21125
AdaptiveDifferentialEvolutionWithDynamicPopulationV2,F42022,10,200000,1,884.3198752053204,40.87736892700195,200000,105.39508431479535,152.3805349986519,100.0,267.26335569984906,0.00012498437695288088,0.0,0.9947521041587132,28.275952761422225,0.001875,4128,0.313375
AdaptiveDifferentialEvolutionWithDynamicPopulationV2,F42022,10,200000,2,893.5217488322293,40.1627402305603,200000,108.23924004067108,150.18768204642979,100.0,259.8846255722933,0.00012498437695288088,0.0,0.9947897814247356,22.37629284576227,0.00175,5596,0.6995
AdaptiveDifferentialEvolutionWithDynamicPopulationV2,F42022,10,200000,3,883.0145894539664,37.86824655532837,200000,108.55637810939803,145.23370339438932,100.0,260.5317657576895,0.00012498437695288088,0.0,0.994782896161919,33.110321679385265,0.00125,4499,0.562375
AdaptiveDifferentialEvolutionWithDynamicPopulationV2,F42022,10,200000,4,874.0,37.921534061431885,200000,106.98252740996094,150.08397221312757,100.0,264.9513686089498,0.00012498437695288088,0.0,0.9948060873735303,27.476869566778305,0.00125,4758,0.59475
AdaptiveDifferentialEvolutionWithDynamicPopulationV2,F52022,10,200000,0,902.1098362363666,31.359296083450317,200000,110.74154077957466,146.0106767019098,100.0,263.3109499266591,0.00012498437695288088,0.0,0.9950061031921346,4.5846043439652435,0.0015,3270,0.21975
AdaptiveDifferentialEvolutionWithDynamicPopulationV2,F52022,10,200000,1,901.6238241789888,27.969446659088135,200000,110.07789684671127,144.7511546321255,100.0,260.66370546834236,0.00012498437695288088,0.0,0.9950585072058434,4.5124660140654385,0.001,4037,0.504625
AdaptiveDifferentialEvolutionWithDynamicPopulationV2,F52022,10,200000,2,900.8740605909253,27.275903701782227,200000,113.1402972453738,143.30604140952505,100.0,277.18652155053053,0.00012498437695288088,0.0,0.9950976940577457,1.5496460539239598,0.002125,3973,0.072
AdaptiveDifferentialEvolutionWithDynamicPopulationV2,F52022,10,200000,3,900.7868929177293,27.005220413208008,200000,112.09902106597015,141.2673761316982,100.0,273.5966689019121,0.00012498437695288088,0.0,0.9951229637761088,1.9546155703338854,0.001375,3172,0.3965
AdaptiveDifferentialEvolutionWithDynamicPopulationV2,F52022,10,200000,4,902.4759154263052,26.744481563568115,200000,110.43623093919736,141.05820740071746,100.0,262.13299097568125,0.00012498437695288088,0.0,0.9950773581022737,3.1023056454062496,0.00125,4867,0.608375
