algorithm,function,dim,max_eval,mean,std,min,max,avg_nearest_neighbor_distance_mean,dispersion_mean,avg_exploration_pct_mean,avg_distance_to_best_mean,intensification_ratio_mean,avg_exploitation_pct_mean,average_convergence_rate_mean,avg_improvement_mean,success_rate_mean,longest_no_improvement_streak_mean,last_improvement_fraction_mean
AdaptiveDifferentialCrossover,F102022,10,200000,2620.8726497489793,2.2737367544323206e-13,2620.8726497489793,2620.8726497489797,9.128767185959553,198.97953504544566,7.568260297057831,15.439425663331244,0.8367341897233201,92.43173970294217,0.9945452855927007,26.298832179589102,0.01801111797405806,2956.0,0.3651636812847437
AdaptiveDifferentialCrossover,F112022,10,200000,2600.0,3.2155493553843715e-13,2600.0,2600.0000000000005,7.617198699844595,210.19486562968783,6.7710351605717465,13.203608441271475,0.9009387351778656,93.22896483942826,0.994310753849436,124.98491431807926,0.03145151327980235,1521.2,0.17410747374922791
AdaptiveDifferentialCrossover,F12022,10,200000,300.0,0.0,300.0,300.0,15.832187173163351,198.49354912287455,11.88466852858269,26.83682216761391,0.7951581027667984,88.1153314714173,0.9932232878001219,3924087.094523841,0.01932056825200741,2489.4,0.3075231624459543
AdaptiveDifferentialCrossover,F122022,10,200000,2864.952877061442,0.8856031288361849,2864.0139862821907,2865.9100005573678,5.268783957409605,215.74973435173393,5.859931221286745,10.32080172244853,0.8629199604743082,94.14006877871324,0.9945567657869251,62.433201214525994,0.009610870907967882,798.2,0.021544163063619517
AdaptiveDifferentialCrossover,F22022,10,200000,405.96092992260486,2.697691085551355,403.98888879466483,408.9161019277813,8.877056574298951,214.1191173562676,9.64641835926317,19.228448756815915,0.5481966403162055,90.35358164073683,0.9943276192763204,268.9743849814131,0.0132674490426189,2103.8,0.22233477455219272
AdaptiveDifferentialCrossover,F32022,10,200000,600.0,0.0,600.0,600.0,5.271375625491511,214.9290801738282,4.010722631545891,7.493420787921171,0.9399209486166008,95.98927736845411,0.9954719567736081,0.017930726385938713,0.014255713403335393,5143.4,0.6353798641136504
AdaptiveDifferentialCrossover,F42022,10,200000,839.655554455826,4.520343634335021,836.2890154219235,846.5418349903242,78.37083265601908,189.09227850391088,74.46568329874142,161.89281936106687,0.00014822134387351777,25.534316701258568,0.9948525268769611,33.5698165064523,0.00118591723285979,5591.0,0.5161210623841878
AdaptiveDifferentialCrossover,F52022,10,200000,900.0,0.0,900.0,900.0,10.793958918422408,199.33997512277864,8.099791068468095,17.321375159214718,0.848937747035573,91.9002089315319,0.9951854429425326,0.20884260448840228,0.015663990117356395,2789.4,0.3445830759728227
AdaptiveDifferentialCrossover,F62022,10,200000,1811.373478085257,1.9965586677080895,1808.1925185167397,1813.7391046601438,34.409027017712376,203.9032474927805,36.242740450585714,85.79380077738546,0.35916501976284587,63.757259549414286,0.9926399481645539,431221699.5032862,0.006003705991352687,810.2,0.04328597899938234
AdaptiveDifferentialCrossover,F72022,10,200000,2017.3423915706862,3.613921614587063,2014.4033239943499,2023.023765171397,54.78735152603117,205.51173614051254,89.35762751549555,215.90464914872592,0.0004940711462450593,10.642372484504454,0.9943268888409668,912.3132392950422,0.00355775169857937,2422.4,0.19510809141445334
AdaptiveDifferentialCrossover,F82022,10,200000,2217.573124892811,3.9781934706064876,2214.2824210242957,2223.30017326288,54.56716734441294,201.57985762811418,82.9177942961456,191.65534222119285,0.0002964426877470356,17.082205703854406,0.9905371558828915,1.9988616679427023e+18,0.0033353922174181594,2635.2,0.0981099444101297
AdaptiveDifferentialCrossover,F92022,10,200000,2443.6377379203677,196.68407292000109,2300.0,2659.0943448092994,10.30606595559048,210.47526186391423,9.90159603977581,20.19277990097995,0.8061017786561265,90.09840396022419,0.9944132893146016,138.3249610845778,0.023520691785052502,713.6,0.06702903026559605
AdaptiveDifferentialEvolutionHarmonySearch,F102022,10,200000,2644.19981448943,50.04603543757211,2620.87268179572,2733.719532230065,12.60884623288178,250.32607943782187,17.71287452262265,24.814503505733185,0.70976127984002,82.28712547737734,0.9944724752331077,4.847801360887985,0.147,2474.4,0.1703
AdaptiveDifferentialEvolutionHarmonySearch,F112022,10,200000,2840.012177028986,134.17088581362387,2600.000000004486,2900.015221588531,17.966894878591308,293.1168298752937,83.53703288773522,387.57975493326336,0.5282339707536557,16.462967112264785,0.9942104559165547,671.4562551835155,0.023175,6202.0,0.77525
AdaptiveDifferentialEvolutionHarmonySearch,F12022,10,200000,300.0000406540777,8.763486347949944e-05,300.0,300.00019735308257,13.697568341695717,234.04661713612222,17.627925183879064,24.94867084267077,0.7065616797900263,82.37207481612093,0.9935349283297736,981572.6919077408,0.03862500000000001,6633.2,0.6624
AdaptiveDifferentialEvolutionHarmonySearch,F122022,10,200000,2866.3421723119977,19.59315453653525,2848.980016235413,2900.001029147184,26.10252471065712,272.73177633526234,52.47416720748156,1062.4244384492426,0.00012498437695288088,47.52583279251844,,66.87794670678542,0.017625,5631.6,0.9977499999999999
AdaptiveDifferentialEvolutionHarmonySearch,F22022,10,200000,401.5045336790745,2.6229175298645346,400.1819767423391,406.19222028586995,15.313560703764448,267.0578767881457,20.548510916508086,28.467314459571874,0.6175478065241845,79.45148908349191,0.9942840758388802,11.663023688910675,0.26865,309.6,0.034249999999999996
AdaptiveDifferentialEvolutionHarmonySearch,F32022,10,200000,600.0000000048983,1.0006832356563955e-08,600.0,600.0000000227506,13.005631240179401,262.3278552416009,18.442845287561955,25.900710040096527,0.7147606549181352,81.55715471243805,0.9954352306665049,0.017691113870868753,0.017499999999999998,7256.0,0.907
